Loan_ID,Gender,Married,ApplicantIncome,LoanAmount,Loan_Status,Credit_History
0,1,0,5849,127.0,1,1
1,1,1,4583,128.0,0,0
2,1,1,3000,66.0,1,1
3,1,1,2583,120.0,1,1
4,1,0,6000,141.0,1,1
5,1,1,5417,267.0,1,1
6,1,1,2333,95.0,1,1
7,1,1,3036,158.0,0,0
8,1,1,4006,168.0,1,1
9,1,1,12841,349.0,0,0
10,1,1,3200,70.0,1,1
11,1,1,2500,109.0,1,1
12,1,1,3073,200.0,1,1
13,1,0,1853,114.0,0,0
14,1,1,1299,17.0,1,1
15,1,0,4950,125.0,1,1
16,1,0,3596,100.0,1,1
17,0,0,3510,76.0,0,0
18,1,1,4887,133.0,0,0
19,1,1,2600,115.0,1,1
20,1,1,7660,104.0,0,0
21,1,1,5955,315.0,1,1
22,1,1,2600,116.0,0,0
23,1,1,3717,151.0,0,0
24,1,1,9560,191.0,1,1
25,1,1,2799,122.0,1,1
26,1,1,4226,110.0,1,1
27,1,0,1442,35.0,0,0
28,0,0,3750,120.0,1,1
29,1,1,4166,201.0,0,0
30,1,0,3167,74.0,0,0
31,1,0,4692,106.0,0,0
32,1,1,3500,114.0,1,1
33,1,0,12500,320.0,0,0
34,1,1,2275,127.0,1,1
35,1,1,1828,100.0,0,0
36,0,1,3667,144.0,1,1
37,1,0,4166,184.0,1,1
38,1,0,3748,110.0,1,1
39,1,0,3600,80.0,0,0
40,1,0,1800,47.0,1,1
41,1,1,2400,75.0,1,1
42,1,1,3941,134.0,1,1
43,1,1,4695,96.0,1,1
44,0,0,3410,88.0,1,1
45,1,1,5649,44.0,1,1
46,1,1,5821,144.0,1,1
47,0,1,2645,120.0,0,0
48,0,0,4000,144.0,1,1
49,0,1,1928,100.0,1,1
50,0,0,3086,120.0,1,1
51,0,0,4230,112.0,0,0
52,1,1,4616,134.0,0,0
53,0,1,11500,286.0,0,0
54,1,1,2708,97.0,1,1
55,1,1,2132,96.0,1,1
56,1,1,3366,135.0,0,0
57,1,1,8080,180.0,1,1
58,1,1,3357,144.0,1,1
59,1,1,2500,120.0,1,1
60,1,1,3029,99.0,1,1
61,1,1,2609,165.0,0,0
62,1,1,4945,127.0,0,0
63,0,0,4166,116.0,0,0
64,1,1,5726,258.0,0,0
65,1,0,3200,126.0,0,0
66,1,1,10750,312.0,1,1
67,1,1,7100,125.0,1,1
68,0,0,4300,136.0,0,0
69,1,1,3208,172.0,1,1
70,1,1,1875,97.0,1,1
71,1,0,3500,81.0,1,1
72,1,1,4755,95.0,0,0
73,1,1,5266,187.0,1,1
74,1,0,3750,113.0,0,0
75,1,0,3750,176.0,0,0
76,1,1,1000,110.0,0,0
77,1,1,3167,180.0,0,0
78,1,1,3333,130.0,1,1
79,0,0,3846,111.0,1,1
80,1,1,2395,127.0,1,1
81,0,1,1378,167.0,0,0
82,1,1,6000,265.0,0,0
83,1,1,3988,50.0,1,1
84,1,0,2366,136.0,1,1
85,1,1,3333,99.0,1,1
86,1,1,2500,104.0,1,1
87,1,0,8566,210.0,1,1
88,1,1,5695,175.0,1,1
89,1,1,2958,131.0,1,1
90,1,1,6250,188.0,1,1
91,1,1,3273,81.0,1,1
92,1,0,4133,122.0,1,1
93,1,0,3620,25.0,1,1
94,1,0,6782,127.0,0,0
95,0,1,2484,137.0,1,1
96,1,1,1977,50.0,1,1
97,1,1,4188,115.0,1,1
98,1,1,1759,131.0,1,1
99,1,1,4288,133.0,1,1
100,1,0,4843,151.0,1,1
101,1,1,13650,127.0,1,1
102,1,1,4652,127.0,1,1
103,1,1,3052,100.0,1,1
104,1,1,11417,225.0,1,1
105,1,0,7333,120.0,0,0
106,1,1,3800,216.0,0,0
107,1,1,2071,94.0,1,1
108,1,0,5316,136.0,1,1
109,0,1,2929,139.0,1,1
110,1,1,3572,152.0,0,0
111,0,0,7451,127.0,1,1
112,1,0,5050,118.0,1,1
113,1,1,14583,185.0,1,1
114,0,1,3167,154.0,1,1
115,1,1,2214,85.0,1,1
116,1,1,5568,175.0,0,0
117,0,0,10408,259.0,1,1
118,1,1,5667,180.0,1,1
119,0,0,4166,44.0,1,1
120,0,0,2137,137.0,1,1
121,1,1,2957,81.0,1,1
122,1,1,4300,194.0,1,1
123,0,0,3692,93.0,1,1
124,1,0,3865,127.0,1,1
125,1,1,10513,160.0,0,0
126,1,1,6080,182.0,0,0
127,1,0,20166,650.0,1,1
128,1,0,2014,74.0,1,1
129,1,0,2718,70.0,1,1
130,1,1,3459,25.0,1,1
131,1,0,4895,102.0,1,1
132,1,1,4000,290.0,0,0
133,0,1,4583,84.0,0,0
134,1,1,3316,88.0,1,1
135,1,0,14999,242.0,0,0
136,1,1,4200,129.0,0,0
137,1,1,5042,185.0,0,0
138,1,0,5417,168.0,1,1
139,1,0,6950,175.0,1,1
140,1,1,2698,122.0,1,1
141,1,1,11757,187.0,1,1
142,0,1,2330,100.0,1,1
143,0,1,14866,70.0,1,1
144,1,1,1538,30.0,1,1
145,0,0,10000,225.0,0,0
146,1,1,4860,125.0,1,1
147,1,0,6277,118.0,0,0
148,1,1,2577,152.0,1,1
149,1,0,9166,244.0,0,0
150,1,1,2281,113.0,0,0
151,1,0,3254,50.0,1,1
152,1,1,39999,600.0,1,1
153,1,1,6000,160.0,1,1
154,1,1,9538,187.0,1,1
155,1,0,2980,120.0,1,1
156,1,1,4583,255.0,1,1
157,1,1,1863,98.0,1,1
158,1,1,7933,275.0,0,0
159,1,1,3089,121.0,0,0
160,1,1,4167,158.0,1,1
161,1,1,9323,75.0,1,1
162,1,1,3707,182.0,1,1
163,0,1,4583,112.0,0,0
164,1,1,2439,129.0,1,1
165,1,0,2237,63.0,0,0
166,1,1,8000,200.0,1,1
167,1,1,1820,95.0,1,1
168,1,1,3522,81.0,0,0
169,1,1,5708,187.0,1,1
170,1,1,4344,87.0,0,0
171,1,1,3497,116.0,1,1
172,1,1,2045,101.0,1,1
173,1,1,5516,495.0,0,0
174,1,1,3750,116.0,1,1
175,1,0,2333,102.0,0,0
176,1,1,6400,180.0,0,0
177,1,0,1916,67.0,0,0
178,1,1,4600,73.0,1,1
179,1,1,33846,260.0,0,0
180,0,1,3625,108.0,1,1
181,1,1,39147,120.0,1,1
182,1,1,2178,66.0,0,0
183,1,1,2383,58.0,1,1
184,1,1,9328,188.0,1,1
185,1,0,4885,48.0,1,1
186,1,0,12000,164.0,0,0
187,1,1,6033,160.0,0,0
188,1,0,3858,76.0,1,1
189,1,0,4191,120.0,1,1
190,1,1,3125,170.0,0,0
191,1,0,8333,187.0,1,1
192,0,0,1907,120.0,1,1
193,0,1,3416,113.0,1,1
194,1,0,11000,83.0,0,0
195,1,1,2600,90.0,1,1
196,1,0,4923,166.0,1,1
197,1,1,3992,127.0,0,0
198,1,1,3500,135.0,1,1
199,1,1,3917,124.0,1,1
200,0,0,4408,120.0,1,1
201,0,0,3244,80.0,1,1
202,1,0,3975,55.0,1,1
203,1,0,2479,59.0,1,1
204,1,0,3418,127.0,0,0
205,0,0,10000,214.0,0,0
206,1,1,3430,128.0,0,0
207,1,1,7787,240.0,1,1
208,1,1,5703,130.0,1,1
209,1,1,3173,137.0,1,1
210,1,1,3850,100.0,1,1
211,1,1,150,135.0,0,0
212,1,1,3727,131.0,1,1
213,1,1,5000,72.0,0,0
214,0,1,4283,127.0,1,1
215,1,1,2221,60.0,0,0
216,1,1,4009,116.0,1,1
217,1,0,2971,144.0,1,1
218,1,1,7578,175.0,1,1
219,1,1,6250,128.0,1,1
220,1,1,3250,170.0,0,0
221,1,1,4735,138.0,0,0
222,1,1,6250,210.0,1,1
223,1,0,6400,200.0,1,1
224,1,1,2491,104.0,1,1
225,1,1,3716,42.0,1,1
226,1,0,3189,120.0,1,1
227,0,0,8333,280.0,1,1
228,1,1,3155,140.0,1,1
229,1,1,5500,170.0,1,1
230,1,1,5746,255.0,0,0
231,0,0,3463,122.0,1,1
232,0,0,3812,112.0,1,1
233,1,1,3315,96.0,1,1
234,1,1,5819,120.0,1,1
235,1,1,2510,140.0,0,0
236,1,0,2965,155.0,1,1
237,1,1,6250,108.0,1,1
238,1,1,3406,123.0,1,1
239,1,0,6050,120.0,0,0
240,1,1,9703,112.0,1,1
241,1,1,6608,137.0,1,1
242,1,1,2882,123.0,1,1
243,1,1,1809,90.0,1,1
244,1,1,1668,201.0,0,0
245,0,0,3427,138.0,0,0
246,1,0,2583,104.0,1,1
247,1,1,2661,279.0,1,1
248,1,0,16250,192.0,0,0
249,0,0,3083,255.0,1,1
250,1,0,6045,115.0,0,0
251,1,1,5250,94.0,0,0
252,1,1,14683,304.0,0,0
253,1,1,4931,128.0,0,0
254,1,1,6083,330.0,1,1
255,1,0,2060,134.0,1,1
256,0,0,3481,155.0,0,0
257,0,0,7200,120.0,1,1
258,1,0,5166,128.0,1,1
259,1,0,4095,151.0,1,1
260,1,1,4708,150.0,1,1
261,1,1,4333,160.0,1,1
262,0,0,3418,135.0,0,0
263,0,0,2876,90.0,1,1
264,0,0,3237,30.0,1,1
265,1,1,11146,136.0,1,1
266,1,0,2833,126.0,1,1
267,1,1,2620,150.0,1,1
268,1,1,3900,90.0,1,1
269,1,1,2750,115.0,1,1
270,1,1,3993,207.0,1,1
271,1,1,3103,80.0,1,1
272,1,1,14583,436.0,1,1
273,0,1,4100,124.0,1,1
274,1,0,4053,158.0,0,0
275,1,1,3927,112.0,1,1
276,1,1,2301,78.0,1,1
277,0,0,1811,54.0,1,1
278,1,1,20667,127.0,0,0
279,1,0,3158,89.0,1,1
280,0,0,2600,99.0,0,0
281,1,1,3704,120.0,1,1
282,0,0,4124,115.0,1,1
283,1,0,9508,187.0,1,1
284,1,1,3075,139.0,1,1
285,1,1,4400,127.0,0,0
286,1,1,3153,134.0,1,1
287,0,0,5417,143.0,0,0
288,1,1,2383,172.0,1,1
289,1,1,4416,110.0,1,1
290,1,1,6875,200.0,1,1
291,0,1,4666,135.0,1,1
292,0,0,5000,151.0,0,0
293,1,1,2014,113.0,0,0
294,1,1,1800,93.0,0,0
295,1,1,2875,105.0,1,1
296,0,0,5000,132.0,1,1
297,1,1,1625,96.0,1,1
298,1,0,4000,140.0,1,1
299,1,0,2000,127.0,0,0
300,0,0,3762,135.0,1,1
301,0,0,2400,104.0,0,0
302,1,0,20233,480.0,0,0
303,1,1,7667,185.0,1,1
304,0,0,2917,84.0,1,1
305,1,0,2927,111.0,1,1
306,0,0,2507,56.0,1,1
307,1,1,5746,144.0,1,1
308,1,1,3399,111.0,1,1
309,1,1,3717,120.0,1,1
310,1,1,2058,88.0,1,1
311,0,0,3541,112.0,1,1
312,1,1,10000,155.0,0,0
313,1,1,2400,115.0,1,1
314,1,1,4342,124.0,1,1
315,1,1,3601,127.0,1,1
316,0,0,3166,132.0,1,1
317,1,1,15000,300.0,1,1
318,1,1,8666,376.0,0,0
319,1,0,4917,130.0,1,1
320,1,1,5818,184.0,1,1
321,0,1,4333,110.0,0,0
322,0,0,2500,67.0,1,1
323,1,0,4384,117.0,1,1
324,1,0,2935,98.0,1,1
325,1,0,2833,71.0,1,1
326,1,1,63337,490.0,1,1
327,1,1,5503,70.0,1,1
328,1,1,5250,160.0,1,1
329,1,1,2500,176.0,1,1
330,0,0,1830,127.0,0,0
331,0,0,4160,71.0,1,1
332,1,1,2647,173.0,0,0
333,0,0,2378,46.0,0,0
334,1,1,4554,158.0,1,1
335,1,1,3173,74.0,1,1
336,1,1,2583,125.0,1,1
337,1,1,2499,160.0,1,1
338,1,1,3523,152.0,0,0
339,1,1,3083,126.0,1,1
340,1,1,6333,259.0,1,1
341,1,1,2625,187.0,1,1
342,1,1,9083,228.0,1,1
343,1,0,8750,308.0,0,0
344,1,1,2666,95.0,1,1
345,0,1,5500,105.0,0,0
346,0,1,2423,130.0,1,1
347,0,0,3813,116.0,1,1
348,1,1,8333,165.0,1,1
